Last,Address,Address2,Address3,City,State,Zip,Country,Phone,Fax,Email,Account No.,Store,Work,Work Phone,Promo,Contact,Salesperson,Sales Last Year,Sales This Year,First Buy,Last Buy,Bill To Account No.,Tax Status,Tax ID,Alt Tax Rate,Belongs To
Beacon Sales Acquisition Inc. #375,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,kurt.oswald@alliedbuilding.com,39991,2,,,,,Christie,0,0,1/30/2012,6/19/2019,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #377,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(609)833-2250,,terence.brennan@alliedbuilding.com,42489,2,,,,Terence Brennan,Christie,0,0,9/26/2012,9/25/2019,,Exempt,OUT OF STATE(NJ),,Beacon
Beacon Sales Acquisition Inc. #378,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(609)489-5156,,philip.orapello@alliedbuilding.com,4681,3,,,,Phil Orapello,Christie,0,0,8/1/2016,12/18/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #379,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,derek.webber@alliedbuilding.com,59187,2,,,,Derek Webber,Christie,0,0,9/27/2017,8/22/2019,,Exempt,,,Beacon
Beacon Sales Acquisition Inc. #380,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(516)733-2900,(516)932-0334,demo.stefanou@alliedbuilding.com,44019,2,,,,Demo Stefanou,Christie,0,0,4/9/2013,8/30/2019,,,,NYS Nassau County,Beacon
Beacon Sales Acquisition Inc. #381,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(585)328-7330,,,35970,2,,,,,Christie,0,0,6/9/2010,4/8/2019,,,,NYS Nassau County,Beacon
Beacon Sales Acquisition Inc. #383,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(631)467-4800,(631)467-2835,william.lubrico@alliedbuilding.com,39702,2,,,,,Christie,2357.34,0,11/21/2011,3/23/2020,,,,NYS Suffolk County - Both,Beacon
Beacon Sales Acquisition Inc. #384,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,ron.braun@alliedbuilding.com,46508,2,,,,,Christie,0,0,3/14/2014,1/18/2019,,,,NYS Suffolk County - Both,Beacon
Beacon Sales Acquisition Inc. #385,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,39787,2,,,,,Christie,0,0,12/21/2011,1/3/2018,,,,NYS New York City,Beacon
Beacon Sales Acquisition Inc. #388,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,sal.tamburello@alliedbuilding.com,39769,2,,,,,Christie,0,0,12/9/2011,8/15/2018,,,,NYS New York City,Beacon
Beacon Sales Acquisition Inc. #389,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(718)526-5850,,,42341,2,,,,,Christie,0,0,9/25/2012,8/3/2018,,,,NYS New York City,Beacon
Beacon Sales Acquisition Inc. #390,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,USA,(718)296-7900,,,42342,2,,,,,Christie,6393.26,0,9/25/2012,11/5/2020,,,,NYS New York City,Beacon
Beacon Sales Acquisition Inc. #538,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,46398,2,,,,,Christie,0,0,11/26/2014,8/23/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #539,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,46399,2,,,,,Christie,0,0,11/26/2014,5/23/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #542,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,40186,2,,,,,Christie,0,0,3/21/2012,8/15/2018,,Exempt,MD,,Beacon
Beacon Sales Acquisition Inc. #543,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(703)779-2030,,james.karnes@alliedbuilding.com,46605,2,,,,,Christie,0,0,9/9/2014,9/17/2018,,,,,Beacon
Beacon Sales Acquisition Inc. #544,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,Dave.Fisher@alliedbuilding.com,48411,2,,,,Dave Fisher,Christie,0,0,11/26/2014,8/14/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #556,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(813)247-7300,(813)623-5628,Michael.Mistal@alliedbuilding.com,59535,2,,,,Michael Mistal,Christie,0,0,11/30/2017,4/26/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #570,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(303)227-3167,,jay.haddick@alliedbuilding.com,58274,2,,,,Jay Haddick,Christie,0,0,7/18/2017,12/18/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #571,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,48994,2,,,,,Christie,0,0,7/18/2017,6/28/2018,,Exempt,,,Beacon
Beacon Sales Acquisition Inc. #572,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,39701,2,,,,,Christie,0,0,11/29/2011,6/28/2018,,Exempt,,,Beacon
Beacon Sales Acquisition Inc. #576,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(909)796-6926,,,45834,2,,,,,Christie,0,0,6/27/2014,12/13/2018,,,,CA San Bernardino CO-San Berna,Beacon
Beacon Sales Acquisition Inc. #578,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,50999,2,,,,Danny Santos,Christie,0,0,,,,,,CA Los Angeles,Beacon
Beacon Sales Acquisition Inc. #586,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(888)343-1515,,,46511,2,,,,,House Account,0,0,4/4/2014,12/19/2018,,Exempt,OUT OF STATE HI,,Beacon
Beacon Sales Acquisition Inc. #588,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(808)847-2077,,dennis.payne@alliedbuilding.com,44861,2,,,,,Christie,0,0,9/9/2013,8/27/2019,,Exempt,OUT OF STATE (HI),,Beacon
Beacon Sales Acquisition Inc. #589,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(808)877-7558,(808)871-5679,paul.halverson@alliedbuilding.com,40237,2,,,,Paul Halverson,Christie,0,0,3/28/2012,5/1/2018,,Exempt,OUT OF STATE (HI),,Beacon
Beacon Sales Acquisition Inc. #590,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(808)327-2173,(808)327-2177,,46708,2,,,,Tim Takaezu(Manager),Christie,2402.58,0,4/30/2014,4/2/2020,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #592,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,50997,2,,,,Mark Mason,Christie,0,0,,,,Exempt,,,Beacon
Beacon Sales Acquisition Inc. #593,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,50998,2,,,,Mark Mason,Christie,0,0,,,,Exempt,,,Beacon
Beacon Sales Acquisition Inc. #648,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(503)639-1579,(503)624-9443,ted.nisley@alliedbuilding.com,40691,2,,,,Steve Dietz,Christie,0,0,6/18/2012,10/3/2018,,Exempt,OUT OF STATE (OR),,Beacon
Beacon Sales Acquisition Inc. #659,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,dave.webb@alliedbuilding.com,40400,2,,,,,Christie,0,0,4/26/2012,9/13/2018,,Exempt,OOS,,Beacon
Beacon Sales Acquisition Inc. #668,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(541)779-4571,(541)771-4795,brian.mosier@alliedbuilding.com,43880,2,,,,Brian Mosier,Christie,0,0,4/1/2013,9/6/2018,,Exempt,OUT OF STATE (OR),,Beacon
Beacon Sales Acquisition Inc. #669,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(541)501-5456,,david.ott@alliedbuilding.com,40169,2,,,,,Christie,0,0,2/29/2012,4/12/2018,,Exempt,OR,,Beacon
Beacon Sales Acquisition Inc. #682,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,chip.williams@alliedbuilding.com,39847,2,,,,,Christie,0,0,12/12/2011,1/23/2018,,,,CA Riverside CO.,Beacon
Beacon Sales Acquisition Inc. #683,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,jessica.swanson@alliedbuilding.com,48907,2,,,,,House Account,0,0,5/30/2015,7/16/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #685,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,39785,2,,,,,Christie,0,0,5/2/2012,4/26/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #688,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,43242,2,,,,,Christie,0,0,12/12/2012,4/25/2018,,,,CA Sonoma County - Santa Rosa,Beacon
Beacon Sales Acquisition Inc. #712,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,dave.jenkins@alliedbuilding.com,43749,2,,,,,Christie,0,0,2/27/2013,2/1/2019,,Exempt,OUT OF STATE (NJ),,Beacon
Beacon Sales Acquisition Inc. #839,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,40112,2,,,,,Christie,0,0,2/23/2012,3/15/2018,,Exempt,OOS,,Beacon
Beacon Sales Acquisition Inc. #889,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,john.baumgartner@alliedbuilding.com,40357,2,,,,,Christie,0,0,4/17/2012,3/19/2018,,Exempt,OUT OF STATE,,Beacon
BBB Store #657,,,,,,,,,,,46402,2,,,,,House Account,0,0,,,,Exempt,,,Bed Bath & Beyond
BED BATH & BEYOND,Attn: Chris Masoomian,650 Liberty Avenue,,Union,NJ,7083,,,,,38092,2,,,,,House Account,0,56.56,6/24/2021,7/12/2021,37465-2,,,,Bed Bath & Beyond
Bed Bath & Beyond,200 Running Hill Road  Suite 4,,,South Portland,MAINE,4106,,,,,46091,2,,,,,Christie,0,0,,,,,,,Bed Bath & Beyond
Bed Bath & Beyond,2720 Towne Drive Suite 300,,,Beavercreek,OHIO,45431,,,,chadreese0520@yahoo.com,46154,2,,,,,House Account,0,0,,,,,,,Bed Bath & Beyond
Bed Bath & Beyond,Attn: Jeffrey A. Hall,2900 Meadow Creek Dr,,Bossier City,LA,71111,,(318)742-1450,(318)742-3129,,13568,3,,,,Jeffrey A. Hall,,0,0,5/2/2019,5/2/2019,,,,,Bed Bath & Beyond
Bed Bath & Beyond # 525,Attn: Eric Cantin,486 Ridgewood Drive,,Daphne,AL,36526,,,,,42310,2,,,,,,0,0,,,,Exempt,AL,,Bed Bath & Beyond
Berkshire Hathaway HomeServices,Attn: Sue Richards,860 North Main Street Ext,,Wallingford,CT,6492,,(860)571-7000,(860)571-7410,SueRichards@bhhsne.com,14763,2,,,,Sue Richards,Christie,0,0,9/6/2002,10/5/2018,,,,,Berkshire Hathaway HomeServices
Glastonbury Office,BHHS New England Properties,2790 Main Street,Attn: Linda Johnson,Glastonbury,CT,6033,,(860)633-3674,(860)657-4796,rarias@feuryimagegroup.com,25756,2,,,,,National - House,0,0,7/11/2006,2/2/2018,14763-2,,,,Berkshire Hathaway HomeServices
Windsor Office,BHHS New England Properties,240 Bloomfiield Avenue,Attn: Christine Bullock,Windsor,CT,6095,,(860)688-7531,,,32170,2,,,,,National - House,0,0,9/4/2008,3/8/2018,14763-2,,,,Berkshire Hathaway HomeServices
Billingsley Company,3313 Plano Pkwy,,,The Colony,TX,75056,,(972)820-2237,,AHenson@billingsleyco.com,68660,2,,,,Amanda Henson,Christie,6889.96,174.98,8/19/2020,6/18/2021,,,,TX The Colony - 8.25%,Billingsley Company
Billingsley Company - Brickyard,3313 Plano Pkwy,,,The Colony,TX,75056,,,,AHenson@billingsleyco.com,70543,2,,,,Amanda Henson,Christie,901.55,763.87,12/2/2020,4/15/2021,68660-2,,,TX Dallas County 8.25%,Billingsley Company
Billingsley Company - Hudson,3313 Plano Pkwy,,,The Colony,TX,75056,,,,AHenson@billingsleyco.com,70549,2,,,,Amanda Henson,Christie,462.7,1590.83,12/16/2020,5/10/2021,68660-2,,,TX The Colony - 8.25%,Billingsley Company
Billingsley Company - Sage Hill,3313 Plano Pkwy,,,The Colony,TX,75056,,,,AHenson@billingsleyco.com,71505,2,,,,Amanda Henson,Christie,0,922.9,4/19/2021,7/13/2021,68660-2,,,TX Dallas County 8.25%,Billingsley Company
Billingsley Company - Slone Street,3313 Plano Pkwy,,,The Colony,TX,75056,,,,AHenson@billingsleyco.com,70548,2,,,,Amanda Henson,Christie,876.8,1472.54,12/16/2020,4/20/2021,68660-2,,,TX The Colony - 8.25%,Billingsley Company
